0 -2.27619 1.00268
1 -2.93255 1.00306
2 -0.36882 1.00132
3 -1.1416 1.00161
5 -0.855551 1.00155
7 0.909674 1.00038
8 -0.827787 1.00146
9 0.188987 1.00079
10 -2.02996 1.00261
11 2.77654 0.999005
12 0.953602 1.00031
13 0.408861 1.00086
14 1.46854 0.999835
15 -1.56205 1.0023
16 4.70681 0.998094
17 -0.709518 1.00131
19 2.933 0.982
21 2.59863 0.997853
22 -1.66773 1.00218
23 7.511 0.995
28 -1.14609 1.00188
29 -0.720348 1.00141
30 0.955007 1.00027
31 -1.29034 1.00212
32 -0.70856 1.00165
33 0.0160152 0.999875
34 0.470945 1.00096
35 1.80015 0.999974
36 9.054 0.994
37 0.893914 1.00029
38 2.56138 0.999666
39 0.317136 1.00068
40 -0.146548 1.0012
41 -1.52651 1.00217
42 -1.06874 1.00149
43 -3.23382 1.00323
44 -1.6301 1.00227
